Station Code,DateTimeStamp,Monitoring Program,REP,F_Record,PO4F,F_PO4F,TDP,F_TDP,TP,F_TP,PHOSP,F_PHOSP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TDN,F_TDN,TN,F_TN,PN,F_PN,UncCHLa_N,F_UncCHLa_N,CHLA_N,F_CHLA_N,PHEA,F_PHEA,POC,F_POC,SiO4F,F_SiO4F,TSS,F_TSS,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,COLOR,F_COLOR,SECCHI,F_SECCHI,IRR0_N,F_IRR0_N,IRR1_N,F_IRR1_N,Kd_N,F_Kd_N
gtmpcnut,5/8/2002 8:15,1,1,,0.056,<4>,,<-2> [GDM],0.073,<4>,,<-2> [GCM],0.054,<4>,0.002,<4>,0.0008,<4>,0.0028,<4>,0.057,<4>,,<-2> [GDM],0.5602,<4>,,<-2> [GCM],15.3,<4>,12.7,<4>,4.8,<4>,1.478,<4>,3.034,<4>,41,<4>,27.1,<4>,23,<4>,4.5,<4>,7.7,<4>,5,<4>,42,<4>,0.9,<4>,865.1,<4>,59.6,<4>,2.675,<4>
gtmpcnut,5/8/2002 8:16,1,2,,0.057,<4>,,<-2> [GDM],0.074,<4>,,<-2> [GCM],0.051,<4>,0.0018,<4>,0.0005,<4>,0.0023,<4>,0.053,<4>,,<-2> [GDM],0.599,<4>,,<-2> [GCM],15.2,<4>,12.3,<4>,5.4,<4>,1.655,<4>,3.524,<4>,,<-2> [GDM],27.1,<4>,23,<4>,4.5,<4>,7.7,<4>,4.9,<4>,45,<4>,0.9,<4>,865.1,<4>,59.6,<4>,2.675,<4>
gtmssnut,5/8/2002 9:30,1,1,,0.035,<4>,,<-2> [GDM],0.045,<4>,,<-2> [GCM],0.048,<4>,0.0041,<4>,0.0064,<4>,0.0105,<4>,0.059,<4>,,<-2> [GDM],0.3478,<4>,,<-2> [GCM],7.1,<4>,5.8,<4>,2.4,<4>,0.915,<4>,1.586,<4>,38,<4>,26.2,<4>,33.7,<4>,5.1,<4>,7.8,<4>,5.9,<4>,10,<4>,1.1,<4>,853.3,<4>,172.1,<4>,1.601,<4>
gtmssnut,5/8/2002 9:31,1,2,,0.029,<4>,,<-2> [GDM],0.012,<4>,,<-2> [GCM],0.057,<4>,0.003,<4>,0.0041,<4>,0.0071,<4>,0.064,<4>,,<-2> [GDM],0.3565,<4>,,<-2> [GCM],6.9,<4>,5.6,<4>,2.4,<4>,1.069,<4>,2.167,<4>,,<-2> [GDM],26.2,<4>,33.7,<4>,5.1,<4>,7.8,<4>,6,<4>,17,<4>,1.1,<4>,853.3,<4>,172.1,<4>,1.601,<4>
gtmpinut,5/8/2002 11:00,1,1,,0.007,<4>,,<-2> [GDM],0.034,<4>,,<-2> [GCM],0.04,<4>,0.0019,<4>,0.0005,<4>,0.0024,<4>,0.042,<4>,,<-2> [GDM],0.4767,<4>,,<-2> [GCM],13.2,<4>,10.3,<4>,5.5,<4>,1.708,<4>,2.041,<4>,,<-2> [GDM],27.3,<4>,34.8,<4>,5.4,<4>,7.6,<4>,7.4,<4>,13,<4>,0.9,<4>,1860,<4>,198.6,<4>,2.237,<4>
gtmpinut,5/8/2002 11:01,1,2,,0.027,<4>,,<-2> [GDM],0.047,<4>,,<-2> [GCM],0.043,<4>,0.0022,<4>,0,<4>,0.0022,<4>,0.045,<4>,,<-2> [GDM],0.4891,<4>,,<-2> [GCM],21,<4>,16.1,<4>,9.2,<4>,1.788,<4>,1.711,<4>,,<-2> [GDM],27.3,<4>,34.8,<4>,5.4,<4>,7.6,<4>,7.4,<4>,17,<4>,0.9,<4>,1860,<4>,198.6,<4>,2.237,<4>
gtmfmnut,5/8/2002 13:40,1,1,,0.009,<4>,,<-2> [GDM],0.026,<4>,,<-2> [GCM],0.038,<4>,0.0015,<4>,0.0008,<4>,0.0023,<4>,0.04,<4>,,<-2> [GDM],0.331,<4>,,<-2> [GCM],5.6,<4>,4.9,<4>,1.4,<4>,1.163,<4>,0.605,<4>,40,<4>,26.4,<4>,33.8,<4>,6.3,<4>,8,<4>,4.3,<4>,12,<4>,1.5,<4>,1801,<4>,698.2,<4>,0.948,<4>
gtmfmnut,5/8/2002 13:41,1,2,,0.016,<4>,,<-2> [GDM],0.03,<4>,,<-2> [GCM],0.04,<4>,0.0016,<4>,0.0007,<4>,0.0023,<4>,0.042,<4>,,<-2> [GDM],0.3922,<4>,,<-2> [GCM],6.3,<4>,5.6,<4>,1.5,<4>,1.072,<4>,0.502,<4>,,<-2> [GDM],26.4,<4>,33.8,<4>,6.3,<4>,8,<4>,4.4,<4>,4,<4>,1.5,<4>,1801,<4>,698.2,<4>,0.948,<4>
gtmssnut,6/5/2002 9:40,1,1,,0.021,<4>,,<-2> [GDM],0.06,<4>,,<-2> [GCM],0.035,<4>,0.0038,<4>,0.0056,<4>,0.0094,<4>,0.044,<4>,,<-2> [GDM],0.4094,<4>,,<-2> [GCM],6.3,<4>,6,<4>,4.3,<4>,0.48,<4>,3.281,<4>,95,<4>,29.5,<4>,34.1,<4>,4,<4>,7.6,<4>,3.6,<4>,10,<4>,0.7,<4>,830.1,<4>,176.3,<4>,1.549,<4>
gtmssnut,6/5/2002 9:41,1,2,,0.02,<4>,,<-2> [GDM],0.061,<4>,,<-2> [GCM],0.038,<4>,0.0035,<4>,0.0065,<4>,0.01,<4>,0.048,<4>,,<-2> [GDM],0.4212,<4>,,<-2> [GCM],4,<4>,3.1,<4>,3.1,<4>,0.75,<4>,3.263,<4>,80,<4>,29.5,<4>,34.1,<4>,4,<4>,7.6,<4>,3.6,<4>,9,<4>,0.7,<4>,830.1,<4>,176.3,<4>,1.549,<4>
gtmpinut,6/5/2002 11:20,1,1,,0.002,<-4> [SBL],,<-2> [GDM],0.07,<4>,,<-2> [GCM],0.023,<4>,0.002,<4>,0.0025,<4>,0.0045,<4>,0.028,<4>,,<-2> [GDM],0.5323,<4>,,<-2> [GCM],8.8,<4>,5.8,<4>,5.4,<4>,1.35,<4>,3.206,<4>,90,<4>,29.9,<4>,35.3,<4>,4,<4>,7.5,<4>,4.1,<4>,18,<4>,0.8,<4>,1434,<4>,296.3,<4>,1.577,<4>
