Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,TKN,F_TKN,TON,F_TON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI
gtmpcnut,1/8/2013 9:30,2,1,,0.014,<1> (CHB),0.038,0,0.010,<-4> [SBL],0.002,<-4> [SBL] (CHB),,<-4> [SCB],0.005,0,,<-4> [SCB],0.44,0,0.43,0,,<-4> [SCB],1.0,<1> (CHB),1.4,<1> (CHB),0.66,<1> (CHB),4,0,,<-2> [GSM] (CHB),,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,1/8/2013 12:00,2,1,,0.026,0,0.055,0,0.012,0,0.002,<-4> [SBL],,<-4> [SCB],0.013,0,0.025,0,0.53,0,0.52,0,0.51,0,2.7,0,3.4,0,1.0,0,5,0,220,<1> (CHB),,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,1/8/2013 14:30,2,1,,0.032,0,0.059,0,0.010,<-4> [SBL],0.002,<-4> [SBL],,<-4> [SCB],0.010,0,,<-4> [SCB],0.50,0,0.49,0,,<-4> [SCB],3.5,0,4.4,0,1.2,0,4,0,230,<1> [GSM] (CHB),,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,1/8/2013 17:00,2,1,,0.028,0,0.062,0,0.010,<-4> [SBL],0.002,0,0.008,0,0.010,0,,<-4> [SCB],0.54,0,0.53,0,,<-4> [SCB],4.7,0,5.6,0,1.1,0,4,0,320,<1> (CHB),,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,1/8/2013 19:30,2,1,,0.025,0,0.056,0,0.010,<-4> [SBL],0.002,<-4> [SBL],,<-4> [SCB],0.007,0,,<-4> [SCB],0.49,0,0.48,0,,<-4> [SCB],2.6,0,3.2,0,0.79,0,6,0,370,<1> (CHB),,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,1/8/2013 22:00,2,1,,0.026,0,0.052,0,0.010,<-4> [SBL],0.002,<-4> [SBL],,<-4> [SCB],0.012,0,,<-4> [SCB],0.53,0,0.52,0,,<-4> [SCB],2.9,0,3.6,0,1.1,0,5,0,310,<1> (CHB),,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,1/9/2013 0:30,2,1,,0.029,0,0.061,0,0.011,0,0.002,<-4> [SBL],,<-4> [SCB],0.010,0,0.021,0,0.47,0,0.46,0,0.45,0,4.3,0,4.9,0,0.85,0,4,0,210,<1> (CHB),,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,1/9/2013 3:00,2,1,,0.031,0,0.062,0,0.016,0,0.002,<-4> [SBL],,<-4> [SCB],0.011,0,0.027,0,0.55,0,0.54,0,0.52,0,3.4,0,4.2,0,1.1,0,6,0,240,<1> (CHB),,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,1/9/2013 5:30,2,1,,0.032,0,0.058,0,0.012,0,0.002,0,0.008,0,0.010,0,0.022,0,0.52,0,0.51,0,0.50,0,2.8,0,3.4,0,0.92,0,5,0,200,<1> [GSM] (CHB),,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,1/9/2013 8:00,2,1,,0.024,0,0.050,0,0.010,<-4> [SBL],0.002,<-4> [SBL],,<-4> [SCB],0.007,0,,<-4> [SCB],0.56,0,0.55,0,,<-4> [SCB],2.3,0,3.0,0,1.0,0,4,0,310,<1> (CHB),,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
