Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,DON,F_DON,TDN,F_TDN,TN,F_TN,PN,F_PN,TKN,F_TKN,TKNF,F_TKNF,TON,F_TON,PON,F_PON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,DOC,F_DOC,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ENTERO_MPN,F_ENTERO_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,SECCHI,F_SECCHI
gtmpcnut,1/12/2020 10:30,2,1, ,0.048,<1> (CHB),0.084,0,0.076,0,0.006,<1> (CHB),0.034,<1> [GSM] (CHB),0.040,0,0.116,0,0.78,0,0.90,0,1.02,0,0.12,0,0.98,0,0.86,0,0.90,0,0.12,0,2.9,<1> (CHB),3.9,<1> (CHB),2.1,<-4> [SBL] (CHB),23.0,0,6,<1> (CSM), ,<-1>, ,<-1>  ,19.7,0,11.4,0,6.4,0,7.4,0, ,<-1>  , ,<-1>  
gtmpcnut,1/12/2020 13:00,2,1, ,0.037,<1> (CHB),0.074,0,0.072,0,0.006,0,0.027,0,0.033,0,0.105,0, ,<-1>,,<-1>,0.87,0,,<-1>,0.84,0, ,<-1>  ,0.77,0,,<-1>,4.4,0,5.5,0,1.8,<-4> [SBL],15.0,0,14,0,53,<1> [GSM] (CHB), ,<-1>  ,21.2,0,18.9,0,6.5,0,7.7,0, ,<-1>  , ,<-1>  
gtmpcnut,1/12/2020 15:30,2,1, ,0.045,0,0.078,0,0.061,0,0.006,0,0.034,0,0.040,0,0.101,0, ,<-1>,,<-1>,0.95,0,,<-1>,0.91,0, ,<-1>  ,0.85,0,,<-1>,2.2,0,3.0,0,1.2,0,21.0,0,8,0,61,<1> [GSM] (CHB), ,<-1>  ,20.6,0,13.8,0,6.3,0,7.5,0, ,<-1>  , ,<-1>  
gtmpcnut,1/12/2020 18:00,2,1, ,0.047,0,0.080,0,0.037,0,0.006,0,0.030,0,0.036,0,0.073,0, ,<-1>,,<-1>,1.04,0,,<-1>,1.00,0, ,<-1>  ,0.96,0,,<-1>,2.5,0,3.0,0,2.6,<-4> [SBL],25.0,0,8,<1> (CSM),190,<1> (CHB), ,<-1>  ,20.5,0,10.2,0,6.5,0,7.4,0, ,<-1>  , ,<-1>  
gtmpcnut,1/12/2020 20:30,2,1, ,0.050,0,0.083,0,0.019,0,0.006,<1> (CSM),0.026,<1> (CSM),0.032,0,0.051,0, ,<-1>,,<-1>,0.80,0,,<-1>,0.77,0, ,<-1>  ,0.75,0,,<-1>,5.5,0,6.7,0,2.2,<-4> [SBL],28.0,0,4,0,190,<1> (CHB), ,<-1>  ,20.1,0,6.6,0,6.9,0,7.3,0, ,<-1>  , ,<-1>  
gtmpcnut,1/12/2020 23:00,2,1, ,0.049,0,0.082,0,0.046,0,0.007,0,0.033,0,0.040,0,0.086,0, ,<-1>,,<-1>,0.84,0,,<-1>,0.80,0, ,<-1>  ,0.75,0,,<-1>,3.3,0,4.5,0,2.2,<-4> [SBL],25.0,0,7,0,110,<1> (CHB), ,<-1>  ,20.7,0,8.2,0,6.9,0,7.4,0, ,<-1>  , ,<-1>  
gtmpcnut,1/13/2020 1:30,2,1, ,0.046,0,0.076,0,0.070,0,0.006,0,0.036,0,0.042,0,0.112,0, ,<-1>,,<-1>,0.77,0,,<-1>,0.73,0, ,<-1>  ,0.66,0,,<-1>,2.3,0,2.9,0,2.2,<-4> [SBL],20.0,0,8,0,88,<1> (CHB), ,<-1>  ,21.2,0,14.3,0,6.0,0,7.4,0, ,<-1>  , ,<-1>  
gtmpcnut,1/13/2020 4:00,2,1, ,0.049,0,0.082,0,0.054,0,0.006,0,0.036,0,0.042,0,0.096,0, ,<-1>,,<-1>,0.86,0,,<-1>,0.82,0, ,<-1>  ,0.77,0,,<-1>,2.1,0,2.6,0,2.2,<-4> [SBL],24.0,0,9,0,120,<1> (CHB), ,<-1>  ,20.8,0,11.1,0,6.1,0,7.4,0, ,<-1>  , ,<-1>  
gtmpcnut,1/13/2020 6:30,2,1, ,0.052,0,0.084,0,0.039,0,0.006,0,0.026,0,0.032,0,0.071,0, ,<-1>,,<-1>,0.81,0,,<-1>,0.78,0, ,<-1>  ,0.74,0,,<-1>,2.6,0,3.6,0,2.2,<-4> [SBL],26.0,0,3,0,190,<1> (CHB), ,<-1>  ,20.4,0,9.1,0,5.9,0,7.3,0, ,<-1>  , ,<-1>  
gtmpcnut,1/13/2020 9:00,2,1, ,0.055,0,0.089,0,0.032,0,0.006,0,0.024,0,0.030,0,0.062,0, ,<-1>,,<-1>,0.88,0,,<-1>,0.85,0, ,<-1>  ,0.82,0,,<-1>,2.2,0,3.0,0,2.2,<-4> [SBL],28.0,0,6,0,210,<1> (CHB), ,<-1>  ,19.3,0,4.7,0,6.4,0,7.2,0, ,<-1>  , ,<-1>  
