Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO23F,F_NO23F,DIN,F_DIN,DON,F_DON,TDN,F_TDN,TN,F_TN,TKN,F_TKN,TKNF,F_TKNF,TON,F_TON,PON,F_PON,PN,F_PN,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,DOC,F_DOC,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ENTERO_MPN,F_ENTERO_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,Color,F_Color,SECCHI,F_SECCHI,IRR0_N,F_IRR0_N,IRR1_N,F_IRR1_N,Kd_N,F_Kd_N
gtmpcnut,01/11/2021 09:30,2,1,,0.023,<1> (CHB),0.040,0,0.012,0,0.004,<-4> [SBL],,<-4> [SCB],0.30,0,,<-4> [SCB],,<-4> [SCB],0.37,0,0.31,0,0.36,0,0.06,0,,<-2> [GCM],1.8,<1> (CHB),2.0,<1> (CHB),0.9,<-4> [SBL] (CHB),6.9,0,5,0,,<-1>,,<-1>,12.8,0,26.1,0,8.6,0,7.9,0,4.1,<1> [GSM] (CHB),,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/11/2021 12:00,2,1,,0.024,<1> (CHB),0.041,0,0.007,0,0.004,<-4> [SBL],,<-4> [SCB],,<-1>,,<-1>,,<-4> [SCB],0.42,0,,<-1>,0.41,0,,<-1>,,<-1>,1.7,<1> (CHB),1.8,<1> (CHB),0.9,<-4> [SBL] (CHB),6.4,0,4,0,,<-1>,,<-1>,13.1,0,25.5,0,8.7,0,7.9,0,3.5,<1> [GSM] (CHB),,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/11/2021 14:30,2,1,,0.030,0,0.056,0,0.006,0,0.004,<-4> [SBL],,<-4> [SCB],,<-1>,,<-1>,,<-4> [SCB],0.45,0,,<-1>,0.44,0,,<-1>,,<-1>,3.5,0,3.5,0,1.8,<-4> [SBL],10.0,0,6,0,,<-1>,128.0,<1> (CHB),14.1,0,16.2,0,8.7,0,7.6,0,4.3,<1> [GSM] (CHB),,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/11/2021 17:00,2,1,,0.033,0,0.058,0,0.010,0,0.005,0,0.015,0,,<-1>,,<-1>,0.72,0,0.72,0,,<-1>,0.71,0,,<-1>,,<-1>,3.1,0,3.3,0,0.9,<-4> [SBL],12.0,0,5,0,,<-1>,122.0,<1> (CHB),14.4,0,12.9,0,7.5,0,8.4,0,3.7,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/11/2021 19:30,2,1,,0.033,0,0.058,0,0.008,0,0.004,<-4> [SBL],,<-4> [SCB],,<-1>,,<-1>,,<-4> [SCB],0.42,0,,<-1>,0.41,0,,<-1>,,<-1>,3.7,0,4.1,0,0.9,<-4> [SBL],11.0,0,4,0,,<-1>,121.0,<1> (CHB),14.6,0,15.4,0,8.7,0,7.6,0,3.5,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/11/2021 22:00,2,1,,0.027,0,0.049,0,0.005,0,0.004,<-4> [SBL],,<-4> [SCB],,<-1>,,<-1>,,<-4> [SCB],0.39,0,,<-1>,0.38,0,,<-1>,,<-1>,2.1,0,2.2,0,0.9,<-4> [SBL],8.2,0,4,0,,<-1>,86.0,<1> (CHB),14.8,0,22.3,0,8.7,0,7.8,0,3.1,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/12/2021 00:30,2,1,,0.030,0,0.053,0,0.008,0,0.007,0,0.015,0,,<-1>,,<-1>,0.44,0,0.43,0,,<-1>,0.42,0,,<-1>,,<-1>,2.7,0,3.1,0,0.9,<-4> [SBL],9.8,0,6,0,,<-1>,110.0,<1> [GSM] (CHB),14.5,0,17.1,0,8.5,0,7.6,0,3.6,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/12/2021 03:00,2,1,,0.031,0,0.053,0,0.008,0,0.007,0,0.015,0,,<-1>,,<-1>,0.46,0,0.45,0,,<-1>,0.44,0,,<-1>,,<-1>,4.2,0,4.6,0,0.9,<-4> [SBL],10.0,0,3,0,,<-1>,226.0,<1> (CHB),14.4,0,13.9,0,8.2,0,7.5,0,3.3,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/12/2021 05:30,2,1,,0.034,0,0.056,0,0.016,0,0.005,0,0.021,0,,<-1>,,<-1>,0.46,0,0.45,0,,<-1>,0.43,0,,<-1>,,<-1>,1.8,0,2.1,0,0.9,<-4> [SBL],12.0,0,4,0,,<-1>,195.0,<1> (CHB),14.4,0,11.1,0,7.9,0,7.4,0,2.8,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/12/2021 08:00,2,1,,0.034,0,0.057,0,0.013,0,0.004,<-4> [SBL],,<-4> [SCB],,<-1>,,<-1>,,<-4> [SCB],0.44,0,,<-1>,0.43,0,,<-1>,,<-1>,2.2,0,2.7,0,0.9,<-4> [SBL],10.0,0,10,0,,<-1>,228.0,<1> (CHB),17.9,0,17.9,0,8.1,0,7.6,0,4.8,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
