Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,DOP,F_DOP,TDP,F_TDP,TP,F_TP,PHOSP,F_PHOSP,NH4F,F_NH4F,NO23F,F_NO23F,DIN,F_DIN,DON,F_DON,TDN,F_TDN,TN,F_TN,TKN,F_TKN,TKNF,F_TKNF,TON,F_TON,PON,F_PON,PN,F_PN,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,DOC,F_DOC,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ENTERO_MPN,F_ENTERO_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,Color,F_Color,SECCHI,F_SECCHI
gtmfmnut,1/9/2023 9:50,1,1,,0.004,<-4> [SBL],,<-4> [SCB],0.011,0,0.017,0,0.006,0,0.007,0,0.004,<-4> [SBL],,<-4> [SCB],0.19,0,,<-4> [SCB],,<-4> [SCB],0.22,0,0.20,0,0.21,0,0.02,0,,<-2> [GCM],2.8,0,2.9,0,0.98,<-4> [SBL],2.7,0,5,0,4,<-4> [SBL] (CHB),10,<-4> [SBL] (CHB),18.1,0,35.4,0,7.7,<1> (CSM),8.0,0,18,<-4> [SBL],,<-2>
gtmfmnut,1/9/2023 9:53,1,2,,0.004,<-4> [SBL],,<-4> [SCB],0.011,0,0.016,0,0.005,0,0.006,0,0.004,<-4> [SBL],,<-4> [SCB],0.16,0,,<-4> [SCB],,<-4> [SCB],0.22,0,0.17,0,0.21,0,0.05,0,,<-2> [GCM],2.8,0,2.7,0,1.0,<-4> [SBL],2.4,0,3,0,3,<-4> [SBL] (CHB),10,<-4> [SBL] (CHB),18.1,0,35.4,0,7.7,<1> (CSM),8.0,0,18,<-4> [SBL],,<-2>
gtmssnut,1/9/2023 10:50,1,1,,0.004,<-4> [SBL],,<-4> [SCB],0.011,0,0.027,0,0.016,0,0.006,0,0.004,<-4> [SBL],,<-4> [SCB],0.19,0,,<-4> [SCB],,<-4> [SCB],0.30,0,0.20,0,0.29,0,0.10,0,,<-2> [GCM],7.2,0,8.4,0,1.5,0,2.5,0,11,0,3,<-4> [SBL] (CHB),10,<-4> [SBL] (CHB),17.0,0,35.1,0,7.7,<1> (CSM),8.0,0,18,<-4> [SBL],1.4,0
gtmssnut,1/9/2023 10:53,1,2,,0.004,<-4> [SBL],,<-4> [SCB],0.013,0,0.025,0,0.012,0,0.006,0,0.004,<-4> [SBL],,<-4> [SCB],0.20,0,,<-4> [SCB],,<-4> [SCB],0.26,0,0.21,0,0.25,0,0.05,0,,<-2> [GCM],7.4,0,8.5,0,1.5,0,2.1,0,14,0,3,<-4> [SBL] (CHB),10,<-4> [SBL] (CHB),17.0,0,35.1,0,7.7,<1> (CSM),8.0,0,18,<-4> [SBL],1.4,0
gtmpinut,1/9/2023 12:20,1,1,,0.028,0,0.012,0,0.040,0,0.052,0,0.012,0,0.011,0,0.011,0,0.022,0,0.31,0,0.33,0,0.41,0,0.40,0,0.32,0,0.39,0,0.08,0,0.08,0,7.0,0,7.5,0,0.98,<-4> [SBL],6.6,0,6,0,3,<-4> [SBL] (CHB),10,<1> (CHB),16.9,0,26.7,0,7.7,<1> (CSM),7.8,0,20,0,1.2,0
gtmpinut,1/9/2023 12:23,1,2,,0.026,0,0.012,0,0.038,0,0.047,0,0.009,0,0.012,0,0.011,0,0.023,0,0.35,0,0.37,0,0.48,0,0.47,0,0.36,0,0.46,0,0.11,0,0.11,0,6.5,<1> (CSM),7.2,<1> (CSM),1.1,<-4> [SBL],6.9,0,7,0,3,<-4> [SBL] (CHB),10,<-4> [SBL] (CHB),16.9,0,26.7,0,7.7,<1> (CSM),7.8,0,19,0,1.2,0
gtmpcnut,1/9/2023 13:18,1,1,,0.021,0,0.013,0,0.034,0,0.043,0,0.009,0,0.006,0,0.004,<-4> [SBL],,<-4> [SCB],0.34,0,,<-4> [SCB],,<-4> [SCB],0.42,0,0.35,0,0.41,0,0.07,0,,<-2> [GCM],5.6,0,6.3,0,0.90,<-4> [SBL],6.5,0,7,0,31,<1> (CSM),10,<-4> [SBL] (CHB),17.6,0,26.5,0,7.5,<1> (CSM),8.0,0,25,0,1.0,0
gtmpcnut,1/9/2023 13:20,1,2,,0.022,0,0.011,0,0.033,0,0.043,0,0.010,0,0.006,0,0.004,0,0.010,0,0.31,0,0.32,0,0.54,0,0.54,0,0.32,0,0.53,0,0.22,0,0.22,0,5.5,0,6.1,0,0.90,<-4> [SBL],6.6,0,9,<1> (CSM),19,<1> (CSM),10,<-4> [SBL] (CHB),17.6,0,26.5,0,7.5,<1> (CSM),8.0,0,26,<1> (CSM),1.0,0
gtmpcnut,1/23/2023 9:30,2,1,,0.034,<1> (CHB),0.013,<1> (CSM),0.047,0,0.063,0,0.016,0,0.022,0,0.021,0,0.043,0,0.23,0,0.27,0,0.43,0,0.41,0,0.25,0,0.39,0,0.16,0,0.16,0,4.7,<1> (CHB),5.3,<1> (CHB),1.3,<-4> [SBL] (CHB),9.6,0,6,0,,<-1>,,<-1>,17.1,0,9.6,0,7.5,0,7.4,0,,<-1>,,<-1>
gtmpcnut,1/23/2023 12:00,2,1,,0.025,<1> (CHB),,<-1>,,<-1>,0.061,0,,<-1>,0.012,0,0.007,0,0.019,0,,<-1>,,<-1>,0.48,0,0.47,0,,<-1>,0.46,0,,<-1>,,<-1>,4.5,<1> (CHB),5.1,<1> (CHB),1.8,<-4> [SBL] (CHB),6.7,0,18,0,,<-1>,,<-1>,17.9,0,21.9,0,7.1,0,7.7,0,,<-1>,,<-1>
