"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"gtmpcwq  ","P",01/01/2009 0:00,1,1,"",18.6,<0> ,28.92,<0> ,17.9,<0> ,79.7,<0> ,6.7,<0> ,1.14,<0> ,"","","",<-1> ,"","",7.9,<0> ,11,<0> ,"",<-1> ,
"gtmpcwq  ","P",01/01/2009 0:15,1,1,"",18.5,<0> ,29.2,<0> ,18.1,<0> ,79.2,<0> ,6.7,<0> ,1.16,<0> ,"","","",<-1> ,"","",7.8,<0> ,11,<0> ,"",<-1> ,
"gtmpcwq  ","P",01/01/2009 0:30,1,1,"",18.4,<0> ,30.89,<0> ,19.3,<0> ,78.3,<0> ,6.6,<0> ,1.18,<0> ,"","","",<-1> ,"","",7.9,<0> ,11,<0> ,"",<-1> ,
"gtmpcwq  ","P",01/01/2009 0:45,1,1,"",18.4,<0> ,31.54,<0> ,19.7,<0> ,77.2,<0> ,6.5,<0> ,1.2,<0> ,"","","",<-1> ,"","",7.8,<0> ,12,<0> ,"",<-1> ,
"gtmpcwq  ","P",01/01/2009 1:00,1,1,"",18.4,<0> ,32.47,<0> ,20.3,<0> ,77.0,<0> ,6.4,<0> ,1.21,<0> ,"","","",<-1> ,"","",7.8,<0> ,13,<0> ,"",<-1> ,
"gtmpcwq  ","P",01/01/2009 1:15,1,1,"",18.2,<0> ,30.63,<0> ,19.1,<0> ,82.9,<0> ,7.0,<0> ,1.24,<0> ,"","","",<-1> ,"","",7.9,<0> ,11,<0> ,"",<-1> ,
"gtmpcwq  ","P",01/01/2009 1:30,1,1,"",18.3,<0> ,31.34,<0> ,19.6,<0> ,85.7,<0> ,7.2,<0> ,1.26,<0> ,"","","",<-1> ,"","",8.0,<0> ,11,<0> ,"",<-1> ,
"gtmpcwq  ","P",01/01/2009 1:45,1,1,"",18.1,<0> ,30.53,<0> ,19.0,<0> ,85.6,<0> ,7.2,<0> ,1.28,<0> ,"","","",<-1> ,"","",8.0,<0> ,11,<0> ,"",<-1> ,
"gtmpcwq  ","P",01/01/2009 2:00,1,1,"",17.9,<0> ,29.83,<0> ,18.5,<0> ,85.8,<0> ,7.3,<0> ,1.3,<0> ,"","","",<-1> ,"","",8.0,<0> ,10,<0> ,"",<-1> ,
"gtmpcwq  ","P",01/01/2009 2:15,1,1,"",17.9,<0> ,30.51,<0> ,19.0,<0> ,85.5,<0> ,7.2,<0> ,1.32,<0> ,"","","",<-1> ,"","",8.0,<0> ,10,<0> ,"",<-1> ,
"gtmpcwq  ","P",01/01/2009 2:30,1,1,"",17.9,<0> ,31.06,<0> ,19.4,<0> ,84.5,<0> ,7.1,<0> ,1.33,<0> ,"","","",<-1> ,"","",8.0,<0> ,10,<0> ,"",<-1> ,
