"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"gtmpiwq  ","P",01/01/2017 0:00,1,1,"",16.9,<0> ,41.62,<0> ,26.7,<0> ,91.1,<0> ,7.5,<0> ,3.78,<0> ,3.68,<3> ,"",<-1> ,"","",7.8,<0> ,4,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 0:15,1,1,"",16.9,<0> ,41.6,<0> ,26.7,<0> ,92.1,<0> ,7.6,<0> ,3.74,<0> ,3.65,<3> ,"",<-1> ,"","",7.8,<0> ,4,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 0:30,1,1,"",16.9,<0> ,41.48,<0> ,26.6,<0> ,92.3,<0> ,7.6,<0> ,3.68,<0> ,3.59,<3> ,"",<-1> ,"","",7.8,<0> ,6,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 0:45,1,1,"",16.9,<0> ,41.21,<0> ,26.5,<0> ,92.0,<0> ,7.6,<0> ,3.61,<0> ,3.52,<3> ,"",<-1> ,"","",7.8,<0> ,5,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 1:00,1,1,"",16.8,<0> ,40.86,<0> ,26.2,<0> ,91.9,<0> ,7.6,<0> ,3.54,<0> ,3.45,<3> ,"",<-1> ,"","",7.8,<0> ,5,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 1:15,1,1,"",16.8,<0> ,40.33,<0> ,25.8,<0> ,91.6,<0> ,7.6,<0> ,3.47,<0> ,3.38,<3> ,"",<-1> ,"","",7.8,<0> ,6,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 1:30,1,1,"",16.8,<0> ,39.74,<0> ,25.4,<0> ,91.2,<0> ,7.6,<0> ,3.4,<0> ,3.31,<3> ,"",<-1> ,"","",7.8,<0> ,6,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 1:45,1,1,"",16.8,<0> ,39.52,<0> ,25.3,<0> ,90.8,<0> ,7.6,<0> ,3.33,<0> ,3.24,<3> ,"",<-1> ,"","",7.7,<0> ,7,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 2:00,1,1,"",16.7,<0> ,39.25,<0> ,25.1,<0> ,90.5,<0> ,7.6,<0> ,3.26,<0> ,3.17,<3> ,"",<-1> ,"","",7.7,<0> ,7,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 2:15,1,1,"",16.7,<0> ,39.0,<0> ,24.9,<0> ,90.3,<0> ,7.6,<0> ,3.18,<0> ,3.09,<3> ,"",<-1> ,"","",7.7,<0> ,7,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 2:30,1,1,"",16.7,<0> ,38.79,<0> ,24.7,<0> ,90.2,<0> ,7.6,<0> ,3.11,<0> ,3.02,<3> ,"",<-1> ,"","",7.7,<0> ,7,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 2:45,1,1,"",16.7,<0> ,38.55,<0> ,24.6,<0> ,90.0,<0> ,7.6,<0> ,3.02,<0> ,2.93,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 3:00,1,1,"",16.7,<0> ,38.3,<0> ,24.4,<0> ,89.9,<0> ,7.6,<0> ,2.93,<0> ,2.85,<3> ,"",<-1> ,"","",7.7,<0> ,6,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 3:15,1,1,"",16.7,<0> ,38.0,<0> ,24.2,<0> ,89.7,<0> ,7.5,<0> ,2.84,<0> ,2.76,<3> ,"",<-1> ,"","",7.7,<0> ,8,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 3:30,1,1,"",16.6,<0> ,37.68,<0> ,24.0,<0> ,89.2,<0> ,7.5,<0> ,2.75,<0> ,2.67,<3> ,"",<-1> ,"","",7.7,<0> ,8,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 3:45,1,1,"",16.5,<0> ,37.3,<0> ,23.7,<0> ,88.5,<0> ,7.5,<0> ,2.65,<0> ,2.56,<3> ,"",<-1> ,"","",7.7,<0> ,8,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 4:00,1,1,"",16.5,<0> ,37.0,<0> ,23.5,<0> ,88.1,<0> ,7.5,<0> ,2.58,<0> ,2.49,<3> ,"",<-1> ,"","",7.7,<0> ,8,<0> ,"",<-1> ,
"gtmpiwq  ","P",01/01/2017 4:15,1,1,"",16.5,<0> ,36.73,<0> ,23.3,<0> ,87.9,<0> ,7.5,<0> ,2.51,<0> ,2.42,<3> ,"",<-1> ,"","",7.7,<0> ,7,<0> ,"",<-1> ,
