"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"gtmsswq  ","P",01/01/2008 0:00,1,1,"",19.2,<0> ,52.1,<0> ,34.4,<0> ,97.4,<0> ,7.3,<0> ,4.06,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 0:15,1,1,"",19.1,<0> ,52.22,<0> ,34.4,<0> ,97.1,<0> ,7.3,<0> ,4.13,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 0:30,1,1,"",19.0,<0> ,52.3,<0> ,34.5,<0> ,96.7,<0> ,7.3,<0> ,4.18,<0> ,"","","",<-1> ,"","",8.0,<0> ,6,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 0:45,1,1,"",18.8,<0> ,52.49,<0> ,34.6,<0> ,97.0,<0> ,7.4,<0> ,4.24,<0> ,"","","",<-1> ,"","",8.0,<0> ,5,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 1:00,1,1,"",18.7,<0> ,52.59,<0> ,34.7,<0> ,97.4,<0> ,7.4,<0> ,4.29,<0> ,"","","",<-1> ,"","",8.0,<0> ,6,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 1:15,1,1,"",18.4,<0> ,52.72,<0> ,34.8,<0> ,97.4,<0> ,7.4,<0> ,4.33,<0> ,"","","",<-1> ,"","",8.0,<0> ,5,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 1:30,1,1,"",18.1,<0> ,52.95,<0> ,35.0,<0> ,97.3,<0> ,7.5,<0> ,4.37,<0> ,"","","",<-1> ,"","",8.1,<0> ,6,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 1:45,1,1,"",18.0,<0> ,53.03,<0> ,35.0,<0> ,97.1,<0> ,7.5,<0> ,4.42,<0> ,"","","",<-1> ,"","",8.1,<0> ,5,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 2:00,1,1,"",17.8,<0> ,53.15,<0> ,35.1,<0> ,96.7,<0> ,7.5,<0> ,4.45,<0> ,"","","",<-1> ,"","",8.1,<0> ,5,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 2:15,1,1,"",17.7,<0> ,53.22,<0> ,35.2,<0> ,96.6,<0> ,7.5,<0> ,4.47,<0> ,"","","",<-1> ,"","",8.1,<0> ,6,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 2:30,1,1,"",17.7,<0> ,53.25,<0> ,35.2,<0> ,96.4,<0> ,7.4,<0> ,4.49,<0> ,"","","",<-1> ,"","",8.1,<0> ,6,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 2:45,1,1,"",17.6,<0> ,53.29,<0> ,35.2,<0> ,96.2,<0> ,7.4,<0> ,4.51,<0> ,"","","",<-1> ,"","",8.1,<0> ,5,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 3:00,1,1,"",17.6,<0> ,53.26,<0> ,35.2,<0> ,95.8,<0> ,7.4,<0> ,4.51,<0> ,"","","",<-1> ,"","",8.1,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 3:15,1,1,"",17.6,<0> ,53.31,<0> ,35.2,<0> ,95.1,<0> ,7.4,<0> ,4.51,<0> ,"","","",<-1> ,"","",8.1,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 3:30,1,1,"",17.6,<0> ,53.31,<0> ,35.2,<0> ,94.3,<0> ,7.3,<0> ,4.5,<0> ,"","","",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 3:45,1,1,"",17.6,<0> ,53.31,<0> ,35.2,<0> ,93.6,<0> ,7.2,<0> ,4.48,<0> ,"","","",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 4:00,1,1,"",17.6,<0> ,53.3,<0> ,35.2,<0> ,95.6,<0> ,7.4,<0> ,4.45,<0> ,"","","",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 4:15,1,1,"",17.7,<0> ,53.27,<0> ,35.2,<0> ,95.9,<0> ,7.4,<0> ,4.41,<0> ,"","","",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 4:30,1,1,"",17.7,<0> ,53.18,<0> ,35.2,<0> ,94.8,<0> ,7.3,<0> ,4.36,<0> ,"","","",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 4:45,1,1,"",17.8,<0> ,53.09,<0> ,35.1,<0> ,93.1,<0> ,7.2,<0> ,4.31,<0> ,"","","",<-1> ,"","",8.1,<0> ,3,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 5:00,1,1,"",17.9,<0> ,52.98,<0> ,35.0,<0> ,93.7,<0> ,7.2,<0> ,4.27,<0> ,"","","",<-1> ,"","",8.0,<0> ,5,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 5:15,1,1,"",18.1,<0> ,52.64,<0> ,34.8,<0> ,90.4,<0> ,6.9,<0> ,4.22,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 5:30,1,1,"",18.2,<0> ,52.57,<0> ,34.7,<0> ,90.3,<0> ,6.9,<0> ,4.16,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 5:45,1,1,"",18.2,<0> ,52.59,<0> ,34.7,<0> ,90.2,<0> ,6.9,<0> ,4.11,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 6:00,1,1,"",18.1,<0> ,52.65,<0> ,34.8,<0> ,90.2,<0> ,6.9,<0> ,4.05,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 6:15,1,1,"",18.5,<0> ,52.39,<0> ,34.6,<0> ,91.6,<0> ,7.0,<0> ,4.01,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 6:30,1,1,"",18.6,<0> ,52.18,<0> ,34.4,<0> ,88.9,<0> ,6.8,<0> ,3.95,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 6:45,1,1,"",18.5,<0> ,52.17,<0> ,34.4,<0> ,90.3,<0> ,6.9,<0> ,3.9,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 7:00,1,1,"",18.5,<0> ,52.21,<0> ,34.4,<0> ,88.9,<0> ,6.8,<0> ,3.84,<0> ,"","","",<-1> ,"","",8.0,<0> ,3,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 7:15,1,1,"",18.5,<0> ,52.18,<0> ,34.4,<0> ,88.8,<0> ,6.8,<0> ,3.78,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 7:30,1,1,"",18.7,<0> ,51.81,<0> ,34.1,<0> ,85.2,<0> ,6.5,<0> ,3.73,<0> ,"","","",<-1> ,"","",7.9,<0> ,5,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 7:45,1,1,"",18.7,<0> ,51.95,<0> ,34.2,<0> ,87.6,<0> ,6.7,<0> ,3.68,<0> ,"","","",<-1> ,"","",7.9,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 8:00,1,1,"",18.8,<0> ,51.77,<0> ,34.1,<0> ,87.5,<0> ,6.7,<0> ,3.63,<0> ,"","","",<-1> ,"","",7.9,<0> ,5,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 8:15,1,1,"",18.9,<0> ,51.53,<0> ,33.9,<0> ,85.8,<0> ,6.5,<0> ,3.58,<0> ,"","","",<-1> ,"","",7.9,<0> ,6,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 8:30,1,1,"",19.0,<0> ,51.4,<0> ,33.8,<0> ,86.0,<0> ,6.5,<0> ,3.55,<0> ,"","","",<-1> ,"","",7.9,<0> ,6,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 8:45,1,1,"",19.0,<0> ,51.32,<0> ,33.8,<0> ,85.9,<0> ,6.5,<0> ,3.49,<0> ,"","","",<-1> ,"","",7.9,<0> ,6,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 9:00,1,1,"",19.1,<0> ,51.18,<0> ,33.7,<0> ,85.7,<0> ,6.5,<0> ,3.48,<0> ,"","","",<-1> ,"","",7.9,<0> ,6,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 9:15,1,1,"",19.2,<0> ,50.96,<0> ,33.5,<0> ,85.7,<0> ,6.5,<0> ,3.46,<0> ,"","","",<-1> ,"","",7.9,<0> ,6,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 9:30,1,1,"",19.3,<0> ,50.88,<0> ,33.5,<0> ,84.6,<0> ,6.4,<0> ,3.44,<0> ,"","","",<-1> ,"","",7.9,<0> ,5,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 9:45,1,1,"",19.1,<0> ,51.34,<0> ,33.8,<0> ,79.3,<0> ,6.0,<0> ,3.45,<0> ,"","","",<-1> ,"","",7.9,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 10:00,1,1,"",19.2,<0> ,51.41,<0> ,33.9,<0> ,85.1,<0> ,6.4,<0> ,3.48,<0> ,"","","",<-1> ,"","",7.9,<0> ,6,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 10:15,1,1,"",19.2,<0> ,51.44,<0> ,33.9,<0> ,84.6,<0> ,6.4,<0> ,3.53,<0> ,"","","",<-1> ,"","",7.9,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 10:30,1,1,"",19.2,<0> ,51.56,<0> ,34.0,<0> ,86.9,<0> ,6.6,<0> ,3.58,<0> ,"","","",<-1> ,"","",7.9,<0> ,6,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 10:45,1,1,"",19.4,<0> ,51.63,<0> ,34.0,<0> ,90.5,<0> ,6.8,<0> ,3.62,<0> ,"","","",<-1> ,"","",7.9,<0> ,6,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 11:00,1,1,"",19.3,<0> ,51.71,<0> ,34.1,<0> ,90.7,<0> ,6.8,<0> ,3.68,<0> ,"","","",<-1> ,"","",7.9,<0> ,7,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 11:15,1,1,"",19.3,<0> ,51.77,<0> ,34.1,<0> ,91.0,<0> ,6.9,<0> ,3.72,<0> ,"","","",<-1> ,"","",7.9,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 11:30,1,1,"",19.3,<0> ,51.75,<0> ,34.1,<0> ,92.0,<0> ,6.9,<0> ,3.77,<0> ,"","","",<-1> ,"","",7.9,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 11:45,1,1,"",19.2,<0> ,51.82,<0> ,34.2,<0> ,92.8,<0> ,7.0,<0> ,3.82,<0> ,"","","",<-1> ,"","",8.0,<0> ,5,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 12:00,1,1,"",19.2,<0> ,51.84,<0> ,34.2,<0> ,93.5,<0> ,7.1,<0> ,3.87,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 12:15,1,1,"",19.1,<0> ,51.89,<0> ,34.2,<0> ,94.0,<0> ,7.1,<0> ,3.92,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 12:30,1,1,"",19.0,<0> ,51.99,<0> ,34.3,<0> ,94.9,<0> ,7.2,<0> ,3.98,<0> ,"","","",<-1> ,"","",8.0,<0> ,5,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 12:45,1,1,"",18.9,<0> ,52.12,<0> ,34.4,<0> ,94.6,<0> ,7.2,<0> ,4.02,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 13:00,1,1,"",18.9,<0> ,52.24,<0> ,34.5,<0> ,97.2,<0> ,7.4,<0> ,4.07,<0> ,"","","",<-1> ,"","",8.0,<0> ,5,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 13:15,1,1,"",18.9,<0> ,52.24,<0> ,34.5,<0> ,94.9,<0> ,7.2,<0> ,4.1,<0> ,"","","",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"gtmsswq  ","P",01/01/2008 13:30,1,1,"",18.7,<0> ,52.39,<0> ,34.6,<0> ,95.5,<0> ,7.3,<0> ,4.15,<0> ,"","","",<-1> ,"","",8.0,<0> ,5,<0> ,"",<-1> ,
